
Sync-Point 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0, Nsync-grv:      65536, Nsync-hyd:      32768
Sync-Point 134, Time: 0.551678, Redshift: 0.812651, Systemstep: 0.00257768, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         43

Sync-Point 135, Time: 0.554268, Redshift: 0.804182, Systemstep: 0.00258978, Dloga: 0.00468339, Nsync-grv:        710, Nsync-hyd:        464

Sync-Point 136, Time: 0.55687, Redshift: 0.795752, Systemstep: 0.00260194, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         46

Sync-Point 137, Time: 0.559484, Redshift: 0.787361, Systemstep: 0.00261416, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 138, Time: 0.56211, Redshift: 0.77901, Systemstep: 0.00262643, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         51

Sync-Point 139, Time: 0.564749, Redshift: 0.770697, Systemstep: 0.00263876, Dloga: 0.00468339, Nsync-grv:        742, Nsync-hyd:        506

Sync-Point 140, Time: 0.5674, Redshift: 0.762424, Systemstep: 0.00265114, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         57

Sync-Point 141, Time: 0.570064, Redshift: 0.754189, Systemstep: 0.00266359, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 142, Time: 0.57274, Redshift: 0.745993, Systemstep: 0.00267609, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         56

Sync-Point 143, Time: 0.575429, Redshift: 0.737835, Systemstep: 0.00268866, Dloga: 0.00468339, Nsync-grv:        783, Nsync-hyd:        548

Sync-Point 144, Time: 0.57813, Redshift: 0.729715, Systemstep: 0.00270128, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         64

Sync-Point 145, Time: 0.580844, Redshift: 0.721633, Systemstep: 0.00271396, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 146, Time: 0.583571, Redshift: 0.713589, Systemstep: 0.0027267, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         70

Sync-Point 147, Time: 0.58631, Redshift: 0.705582, Systemstep: 0.0027395, Dloga: 0.00468339, Nsync-grv:        840, Nsync-hyd:        593

Sync-Point 148, Time: 0.589063, Redshift: 0.697613, Systemstep: 0.00275236, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         72

Sync-Point 149, Time: 0.591828, Redshift: 0.689681, Systemstep: 0.00276528, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 150, Time: 0.594606, Redshift: 0.681786, Systemstep: 0.00277826, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         71

Sync-Point 151, Time: 0.597397, Redshift: 0.673928, Systemstep: 0.0027913, Dloga: 0.00468339, Nsync-grv:        893, Nsync-hyd:        651

Sync-Point 152, Time: 0.600202, Redshift: 0.666106, Systemstep: 0.00280441, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         71

Sync-Point 153, Time: 0.603019, Redshift: 0.658322, Systemstep: 0.00281757, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

